VALOR PRED.;ORDEN DE RETIRO;FECHA RETIRO OCA;COD. PRODUCTO;CANTIDAD;PRODUCTO;DTO %;FECHA COMPRA;PROVINCIA;LOCALIDAD;PLATAFORMA
1;90572328;8/7/2021;;1;COLCHÓN L. ROMA TRADICIONAL 90CMX190CM;0;6/7/2021;BUENOS AIRES;LA PLATA;megatone
1;90579469;8/7/2021;;1;ALMOHADAS L.COPO 80CM;0;5/7/2021;BUENOS AIRES;MAR DEL PLATA;megatone
1;91268175;6/8/2021;;1;CONJUNTO L. ROMA TRADICIONAL 140CMX190CM;0;5/7/2021;BUENOS AIRES;GERLI;megatone
1;90585289;8/7/2021;;1;COLCHÓN L. ROMA TRADICIONAL 80CMX190CM;0;6/7/2021;CÓRDOBA;TIO PUJIO;megatone
1;90586089;8/7/2021;;1;COLCHÓN L. ROMA TRADICIONAL 80CMX190CM;0;5/7/2021;SANTA FE;VENADO TUERTO;megatone
1;90610068;13/7/2021;;1;COLCHÓN L. RELAX 22 TRADICIONAL 130CMX190CM;0;7/7/2021;CORRIENTES;CORRIENTES;megatone
1;90612025;13/7/2021;;1;COLCHÓN L. ROMA TRADICIONAL 100CMX190CM;0;7/7/2021;CÓRDOBA;SEBASTIAN ELCANO;megatone
1;90610063;8/7/2021;;2;ALMOHADAS L.VELLÓN 70CM;0;5/7/2021;BUENOS AIRES;BELEN DE ESCOBAR;megatone
1;90633997;13/7/2021;;1;COLCHÓN L. ROMA TRADICIONAL 80CMX190CM;0;8/7/2021;SANTA FE;RAFAELA;megatone
1;90638991;13/7/2021;;1;ALMOHADAS L.COPO 80CM;0;8/7/2021;BUENOS AIRES;QUILMES;megatone
1;90662183;13/7/2021;;2;COLCHÓN L. ROMA TRADICIONAL 80CMX190CM;0;10/7/2021;SANTA FE;RICARDONE;megatone
1;90712820;15/7/2021;;1;COLCHÓN L. ROMA TRADICIONAL 140CMX190CM;0;12/7/2021;CAPITAL FEDERAL;CAPITAL FEDERAL;megatone
1;90710615;15/7/2021;;1;COLCHÓN L. ROMA TRADICIONAL 140CMX190CM;0;12/7/2021;SANTA FE;SUNCHALES;megatone
1;90706287;15/7/2021;;1;CONJUNTO L. ROMA TRADICIONAL 140CMX190CM;0;12/7/2021;BUENOS AIRES;CORONEL PRINGLES;megatone
1;90725635;15/7/2021;;1;COLCHÓN L. GRANATE TRADICIONAL 80CMX190CM;0;13/7/2021;CÓRDOBA;ALMAFUERTE;megatone
1;90737335;15/7/2021;;1;ALMOHADAS L.COPO 70CM;0;12/7/2021;BUENOS AIRES;LA PLATA;megatone
1;90789426;27/7/2021;;1;CONJUNTO L. DUBÁI TRADICIONAL 180CMX200CM;0;15/7/2021;BUENOS AIRES;VILLA LUZURIAGA;megatone
1;90795942;27/7/2021;;1;COLCHÓN L. ROMA TRADICIONAL 140CMX190CM;0;15/7/2021;CÓRDOBA;MARCOS JUAREZ;megatone
