VALOR PRED.;ORDEN DE RETIRO;FECHA RETIRO OCA;COD. PRODUCTO;CANTIDAD;PRODUCTO;DTO %;FECHA COMPRA;PROVINCIA;LOCALIDAD;PLATAFORMA
1;90593398;8/7/2021;;3;ALMOHADAS L.VISCOÉLASTICA 70CM;PROMO 3X2;6/7/2021;CÓRDOBA;LAS VARILLAS;ecommerce
1;90593022;8/7/2021;;1;CONJUNTO L. DALI TRADICIONAL 80CMX190CM;$ 0,00;6/7/2021;BUENOS AIRES;Virrey del pino;ecommerce
1;90592507;8/7/2021;;1;CONJUNTO L. SANZIO TRADICIONAL 90CMX190CM;$ 0,00;6/7/2021;MISIONES;San Vicente;ecommerce
1;90589916;8/7/2021;;3;ALMOHADAS L.VISCOÉLASTICA 70CM;PROMO 3X2;7/7/2021;SANTA FE;Helvecia;ecommerce
1;-;8/7/2021;;1;COLCHÓN L. DALI TRADICIONAL 80CMX190CM;$ 0,00;7/7/2021;SANTA FE;RAFAELA;ecommerce
1;90600677;8/7/2021;;2;CONJUNTO L. SANZIO TRADICIONAL 90CMX190CM;$ 0,00;7/7/2021;RÍO NEGRO;Viedma;ecommerce
1;90620761;13/7/2021;;1;COLCHÓN L. REMBRANDT TRADICIONAL 140CMX190CM;$ 0,00;7/7/2021;FORMOSA;VIAL;ecommerce
1;-;15/7/2021;;1;COLCHÓN L. SANZIO TRADICIONAL 130CMX190CM;$ 0,00;7/7/2021;SANTA FE;RAFAELA;ecommerce
1;90620657;13/7/2021;;3;ALMOHADAS L.VISCOÉLASTICA 70CM;PROMO 3X2;7/7/2021;CORRIENTES;Curuzu Cuatia;ecommerce
1;90619928;13/7/2021;;3;ALMOHADAS L.VISCOÉLASTICA 70CM;PROMO 3X2;7/7/2021;CÓRDOBA;Las Varas;ecommerce
1;90619982;13/7/2021;;3;ALMOHADAS L.VELLÓN 70CM;PROMO 3X2;8/7/2021;BUENOS AIRES;PILAR;ecommerce
1;90627633;13/7/2021;;1;COLCHÓN L. REMBRANDT TRADICIONAL 140CMX190CM;$ 0,00;8/7/2021;MENDOZA;San martín;ecommerce
1;90631346;13/7/2021;;3;ALMOHADAS L.VISCOÉLASTICA 70CM;PROMO 3X2;8/7/2021;SANTA CRUZ;Río Gallegos;ecommerce
1;90679277;13/7/2021;;1;CONJUNTO L. SANZIO TRADICIONAL 140CMX190CM;$ 0,00;8/7/2021;BUENOS AIRES;TRES ARROYOS;ecommerce
1;90679568;13/7/2021;;1;COLCHÓN L. SANZIO TRADICIONAL 80CMX190CM;$ 0,00;8/7/2021;BUENOS AIRES;WILDE;ecommerce
1;90680365;13/7/2021;;1;COLCHÓN L. SANZIO TRADICIONAL 100CMX190CM;$ 0,00;8/7/2021;SANTA CRUZ;LAS HERAS;ecommerce
1;90681822;13/7/2021;;1;COLCHÓN L. SANZIO TRADICIONAL 80CMX190CM;$ 0,00;8/7/2021;NEUQUÉN;NEUQUÉN;ecommerce
1;-;13/7/2021;;3;ALMOHADAS L.VISCOÉLASTICA 70CM;PROMO 3X2;9/7/2021;SANTA FE;RAFAELA;ecommerce
1;90681572;13/7/2021;;3;ALMOHADAS L.VISCOÉLASTICA 70CM;PROMO 3X2;9/7/2021;SANTA FE;Humboldt;ecommerce
1;90683552;13/7/2021;;2;COLCHÓN L. SANZIO TRADICIONAL 80CMX190CM;$ 0,00;9/7/2021;MISIONES;SAN PEDRO;ecommerce
1;90682398;13/7/2021;;3;ALMOHADAS L.VISCOÉLASTICA 70CM;PROMO 3X2;9/7/2021;MISIONES;POSADAS;ecommerce
1;90680062;13/7/2021;;1;CONJUNTO L. DALI TRADICIONAL 80CMX190CM;$ 0,00;10/7/2021;BUENOS AIRES;BATAN;ecommerce
1;90683954;13/7/2021;;1;COLCHÓN L. DALI TRADICIONAL 100CMX190CM;$ 0,00;11/7/2021;RÍO NEGRO;Huergo;ecommerce
1;90680790;13/7/2021;;1;CONJUNTO L. SANZIO TRADICIONAL 140CMX190CM;$ 0,00;11/7/2021;MISIONES;POSADAS;ecommerce
1;-;15/7/2021;;3;ALMOHADAS L.VISCOÉLASTICA 70CM;PROMO 3X2;11/7/2021;SANTA FE;RAFAELA;ecommerce
1;90684117;13/7/2021;;3;ALMOHADAS L.VISCOÉLASTICA 70CM;PROMO 3X2;12/7/2021;CORRIENTES;SANTO TOME;ecommerce
